TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
742,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Aggregatibacter aphrophilus ,Haemophilus aphrophilus,A0A3M6PFA6,--,30598730,Acetyl glucosaminyl transferase activity,Not Available
743,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Gammaproteobacteria bacterium HGW-Gammaproteobacteria-10,,A0A2N1ZS52,--,28350393,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
744,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Alicyclobacillus acidocaldarius ,Strain Tc-4-1 Bacills acidocaldarius,F8IJL3,--,21914900,Acetyl glucosaminyl transferase activity,Not Available
745,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Lautropia spp. SCN 70-15,,A0A1D2TKP6,--,26031303,Acetyl glucosaminyl transferase activity,Not Available
746,mRNA interferase MqsR,Janthinobacterium spp.,,A0A349L6R0,--,30148503,Not Available,Not Available
747,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Gammaproteobacteria bacterium HGW-Gammaproteobacteria-10,,A0A2N1ZS36,--,28350393,Acetyl glucosaminyl transferase activity,Not Available
748,Uncharacterized protein,Alicyclobacillus acidocaldarius ,Strain Tc-4-1 Bacills acidocaldarius,F8IJL4,--,21914900,Not Available,Not Available
749,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Gammaproteobacteria bacterium HGW-Gammaproteobacteria-10,,A0A2N1ZS44,--,28350393,Not Available,Not Available
750,Biofilm PGA synthesis protein PgaD,Escherichia coli O139:H28 ,Strain E24377A  /  ETEC,A7ZKC6,--,18676672,Not Available,Not Available
751,Uncharacterized protein,Pseudomonas putida H8234,,R9VGH1,--,23868128,Not Available,Not Available
752,Motility quorum-sensing regulator MqsR,Deltaproteobacteria bacterium RIFOXYD12_FULL_56_24,,A0A1F9L5Q3,--,27774985,Not Available,Not Available
753,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Lautropia spp. SCN 70-15,,A0A1D2TKR0,--,26031303,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
754,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Lautropia spp. SCN 70-15,,A0A1D2TKI8,--,26031303,Not Available,Not Available
755,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Aggregatibacter aphrophilus ,Haemophilus aphrophilus,A0A3M6PFB5,--,30598730,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
756,Uncharacterized protein,Deltaproteobacteria bacterium RIFOXYD12_FULL_56_24,,A0A1F9L1K1,--,27774985,Not Available,Not Available
757,"Toxin-antitoxin system,  toxin component",Hafnia alvei FB1,,A0A097R795,--,25075225,Not Available,Not Available
758,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus aureus subspp. aureus CN1,,T1YDR1,--,23977354,Acetyl glucosaminyl transferase activity,Not Available
759,Polysaccharide deacetylase,Xenorhabdus ehlersii,,A0A2D0ILC7,--,28993611,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
760,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli O139:H28 ,Strain E24377A  /  ETEC,A7ZKC7,--,18676672,Acetyl glucosaminyl transferase activity,Not Available
761,Biofilm PGA synthesis lipoprotein pgaB (EC 3.-.-.-),Escherichia coli O139:H28 ,Strain E24377A  /  ETEC,A7ZKC8,--,18676672,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
762,Hemin storage protein,Hafnia alvei FB1,,A0A097R0G2,--,25075225,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
763,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xenorhabdus ehlersii,,A0A2D0ILF0,--,28993611,Acetyl glucosaminyl transferase activity,Not Available
764,Putative intercellular adhesion protein A (Biofilm formation),Vibrio parahaemolyticus serotype O3:K6 ,Strain RIMD 2210633,Q87PP2,--,12620739,Not Available,Not Available
765,Surface composition regulator,Hafnia alvei FB1,,A0A097R276,--,25075225,Not Available,Not Available
766,Uncharacterized protein,Legionella drancourtii LLAP12,,G9ERV4,--,22047552,Not Available,Not Available
767,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Xenorhabdus ehlersii,,A0A2D0ILC2,--,28993611,Not Available,Not Available
768,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Hafnia alvei FB1,,A0A097R0I0,--,25075225,Acetyl glucosaminyl transferase activity,Not Available
769,Surface composition regulator,Edwardsiella tarda ,Strain FL6-60,A0A0H3DQQ5,--,22003892,Not Available,Not Available
770,Surface composition regulator,Salmonella paratyphi A ,Strain ATCC 9150  /  SARB42,A0A735JW74,--,30286803,Not Available,Not Available
771,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Yersinia enterocolitica ,type O:2 Str. YE3094 / 96,A0A7U7IYU5,--,24753568,Acetyl glucosaminyl transferase activity,Not Available
772,Surface composition regulator,Yersinia enterocolitica ,type O:2 Str. YE3094 / 96,A0A7U7FZ92,--,24753568,"DNA binding, DNA-directed DNA polymerase activity",Not Available
773,Uncharacterized protein,Xanthomonas hortorum pv. carotae ,Str. M081,V7ZEF0,--,21722296,Not Available,Not Available
774,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,"6, 7:c:1, 5",A0A740VH22,--,30286803,Not Available,Not Available
775,Surface composition regulator,Yersinia enterocolitica ,"type O:5, 27 Str. YE149 / 02",A0A7U7IQG9,--,24753568,"DNA binding, DNA-directed DNA polymerase activity",Not Available
776,"Haemin storage system,  HmsS protein",Yersinia enterocolitica ,"type O:5, 27 Str. YE149 / 02",A0A7U7FMU7,--,24753568,Not Available,Not Available
777,IcaA (Fragment),Staphylococcus condimenti,,Q83ZI0,--,12957956,Not Available,Not Available
778,Uncharacterized protein,Yersinia enterocolitica ,type O:2 Str. YE3094 / 96,A0A7U7G2K0,--,24753568,Not Available,Not Available
779,Surface composition regulator,Salmonella enterica subspp. houtenae serovar ,"44:z4, z24:-",A0A737NPA5,--,30286803,Not Available,Not Available
780,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Miami,A0A5I2DLX0,--,30286803,Not Available,Not Available
781,"Haemin storage system,  HmsS protein",Yersinia enterocolitica ,type O:2 Str. YE3094 / 96,A0A7U7IYG1,--,24753568,Not Available,Not Available
782,Surface composition regulator,"Salmonella enterica subspp. houtenae serovar 48:z4, z32:-",,A0A729FR63,--,30286803,Not Available,Not Available
783,Surface composition regulator,Salmonella enterica subspp. enterica serovar Typhi ,Str. CT18,A0A718C8V5,--,30286803,Not Available,Not Available
784,Surface composition regulator,Salmonella enterica subspp. arizonae serovar ,"41:z4, z23:-",A0A741N0E9,--,30286803,Not Available,Not Available
785,S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS),Aeromona hydrophila,,B1PWE7,--,18930130,"Iron ion binding, S-ribosylhomocysteine lyase activity",Not Available
786,PsoR,Pseudomonas putida ,Arthrobacter siderocapsulatus,A8MN34,--,16585751; 18599835,DNA binding,Not Available
787,IcaA (Fragment),Staphylococcus condimenti,,Q83ZH5,--,12957956,Not Available,Not Available
788,Biofilm PGA synthesis lipoprotein pgaB,Yersinia enterocolitica W22703,,F4N0N6,--,21453472,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
789,Uncharacterized protein (Fragment),Klebsiella pneumoniae,,Q1G0U9,--,16861646,Not Available,Not Available
790,Uncharacterized protein,Klebsiella pneumoniae,,Q1G0V5,--,16861646,Not Available,Not Available
791,Surface composition regulator,Salmonella enterica subspp. enterica serovar Kouka,,A0A729KY13,--,30286803,Not Available,Not Available
792,LysR_substrate domain-containing protein (Fragment),Klebsiella pneumoniae,,Q1G0W0,--,16861646,Not Available,Not Available
793,Uncharacterized protein,Klebsiella pneumoniae,,Q1G0V8,--,16861646,Not Available,Not Available
794,Surface composition regulator,Salmonella enterica subspp. houtenae serovar ,"1, 40:z4, z32:-",A0A730WRJ9,--,30286803,Not Available,Not Available
795,Uncharacterized protein,Klebsiella pneumoniae,,Q1G0U0,--,16861646,Not Available,Not Available
796,Aldedh domain-containing protein,Klebsiella pneumoniae,,Q1G0V4,--,16861646,"Oxidoreductase activity,  acting on the aldehyde or oxo group of donors,  NAD or NADP as acceptor",Not Available
797,Uncharacterized protein (Fragment),Klebsiella pneumoniae,,Q1G0T9,--,16861646,Not Available,Not Available
798,Uncharacterized protein (Fragment),Klebsiella pneumoniae,,Q1G0U6,--,16861646,Not Available,Not Available
799,Uncharacterized protein,uncultured Desulfobacterium spp.,,E1YIC6,--,21176053,Not Available,Not Available
800,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baumannii,,C8YYH7,--,19633088,Acetyl glucosaminyl transferase activity,Not Available
801,Autoinducer-2 ABC transporter permease protein,Klebsiella pneumoniae,,C8BNA6,--,20600864,Transmembrane transporter activity,Not Available
802,Uncharacterized protein,Klebsiella pneumoniae,,Q1G0U5,--,16861646,Not Available,Not Available
803,Urease accessory protein UreF,Staphylococcus spp. T-02,,B9A8F9,--,20208338,Nickel cation binding,Not Available
804,Surface composition regulator,Yersinia enterocolitica W22703,,F4N5Y4,--,21453472,"DNA binding, DNA-directed DNA polymerase activity",Not Available
805,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-) (Fragment)",Yersinia enterocolitica W22703,,F4MUX8,--,21453472,Acetyl glucosaminyl transferase activity,Not Available
806,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus capitis,,Q6YI89,--,12957956,Acetyl glucosaminyl transferase activity,Not Available
807,Surface composition regulator,Salmonella typhimurium,,A0A701JYH4,--,30286803,Not Available,Not Available
808,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Orion,A0A3T2WB67,--,30286803,Not Available,Not Available
809,Surface composition regulator,Salmonella gallinarum,,A0A3V9NPH3,--,30286803,Not Available,Not Available
810,IcaR (Fragment),Staphylococcus capitis,,Q6YI86,--,12957956,DNA binding,Not Available
811,Uncharacterized protein,Klebsiella pneumoniae,,Q1G0U2,--,16861646,Not Available,Not Available
812,IcaA (Fragment),Staphylococcus capitis,,Q83ZH3,--,12957956,Not Available,Not Available
813,PTS EIIC type-3 domain-containing protein (Fragment),Klebsiella pneumoniae,,Q1G0U4,--,16861646,Protein-N(PI)-phosphohistidine-sugar phosphoTransferase activity,Not Available
814,"Biofilm polysaccharide intercellular adhesin deacetylase (Intercellular adhesion protein B) (Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase) (Fragment)",Staphylococcus capitis,,Q6YI87,--,12957956,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds,  in linear amides",Not Available
815,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Ohio,A0A3V5VUX0,--,30286803,Not Available,Not Available
816,Surface composition regulator,Salmonella enterica subspp. houtenae serovar ,"43:z4, z23:-",A0A730K0K8,--,30286803,Not Available,Not Available
817,Uncharacterized protein,Yersinia enterocolitica W22703,,F4MUX9,--,21453472,Not Available,Not Available
818,Surface composition regulator,Salmonella enterica subspp. enterica serovar Paratyphi B,,A0A3V7VTQ9,--,30286803,Not Available,Not Available
819,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Rubislaw Str. ATCC 10717,A0A6W0NR32,--,30286803,Not Available,Not Available
820,"Biofilm polysaccharide intercellular adhesin synthesis protein IcaD (Intercellular adhesion protein D) (Poly-beta-1, 6-N-acetyl-D-glucosamine synthesis protein IcaD) (Fragment)",Staphylococcus capitis,,Q6YI88,--,12957956,Not Available,Not Available
821,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain],Bacillus cereus,,A0A063CLJ3,--,25301660; 30637927,Adenosylmethionine decarboxylase activity,Not Available
822,Ribonuclease J (RNAse J) (EC 3.1.-.-),Bacillus cereus,,A0A068NAJ3,--,25301660,"5'-3' exoribonuclease activity, endoribonuclease activity, RNA binding, zinc ion binding",Not Available
823,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus aureus,,A0A2S6DQT8,--,29479347,Acetyl glucosaminyl transferase activity,Not Available
824,Global transcriptional regulator Spx,Bacillus cereus,,A0A2A8ED49,--,25301660; 31228823; 30637927; 33353020,Not Available,Not Available
825,Surface composition regulator,Salmonella hadar,,A0A3V2W5E6,--,30286803; 30902850,Not Available,Not Available
826,Ribonuclease PH (RNAse PH) (EC 2.7.7.56) (tRNA nucleotidyl transferase),Bacillus cereus,,A0A080TUN6,--,31228823; 30637927,"3'-5'-exoribonuclease activity, tRNA binding, tRNA nucleotidylTransferase activity",Not Available
827,Ribonuclease J (RNAse J) (EC 3.1.-.-),Bacillus cereus,,A0A063CPQ3,--,25301660,"5'-3' exoribonuclease activity, endoribonuclease activity, RNA binding, zinc ion binding",Not Available
828,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Braenderup,A0A3T3G645,--,30286803,Not Available,Not Available
829,Type II toxin-antitoxin system MqsR family toxin,Yersinia pestis,,A0A3N4BIT9,--,11586360,Not Available,Not Available
830,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Javiana,A0A3V7PI12,--,30286803,Not Available,Not Available
831,Surface composition regulator,Salmonella anatum,,A0A2T8MEV5,--,30286803; 30902850,Not Available,Not Available
832,Surface composition regulator,Salmonella potsdam,,A0A5I6RXB1,--,30286803,Not Available,Not Available
833,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Coeln,A0A5I3IDD6,--,30286803,Not Available,Not Available
834,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Napoli,A0A5H6JAD5,--,30286803,Not Available,Not Available
835,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus lugdunensis,,A8DMY8,--,17635864,Acetyl glucosaminyl transferase activity,Not Available
836,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,,A0A720D3V5,--,30286803,Not Available,Not Available
837,AHL-dependent Transcriptional regulator,Edwardsiella tarda,,Q60HM0,--,16233705; 19283379,DNA binding,Not Available
838,Surface composition regulator,Salmonella enteritidis PT4 ,Strain P125109,A0A724LRF7,--,30286803,Not Available,Not Available
839,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Havana,A0A3V3TZ71,--,30286803,Not Available,Not Available
840,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Eastbourne,A0A3V5UUL8,--,30286803,Not Available,Not Available
841,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Haifa,A0A3V5ZEC4,--,30902850,Not Available,Not Available
842,Surface composition regulator,Edwardsiella piscicida,,A0A034SUT9,--,24926054,Not Available,Not Available
843,Adenosylhomocysteinae (EC 3.3.1.1) (S-adenosyl-L-homocysteine Hydrolase) (AdoHcyase),Pseudomonas aeruginosa,,K7QUT8,--,22942290,Adenosylhomocysteinae activity,Not Available
844,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase (Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB) (EC 3.5.1.-)",Pseudomonas lactis,,A0A219A6N9,--,32587583,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
845,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Bareilly,A0A4Z8Z843,--,30286803; 30902850,Not Available,Not Available
846,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Pseudomonas prosekii,,A0A3L8CDD7,--,29867824,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
847,"Biofilm PGA synthesis lipoprotein PgaB (EC 3.-.-.-) (Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB) (EC 3.5.1.-)",Pseudomonas lactis,,I4KF65,--,22792073; 32587583,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
848,DNA polymerase III subunit delta (EC 2.7.7.7) (HolA),Staphylococcus lugdunensis,,A0A0N7BA97,--,26416910,"DNA binding, DNA-directed DNA polymerase activity",Not Available
849,3-hydroxylisobutyryl-CoA Hydrolase (Putative enoyl-CoA hydratase / isomerase family protein),Acinetobacter oleivorans ,Strain JCM 16667  /  KCTC 23045  /  DR1,D3JTG3,--,20629796; 20639327,"3-hydroxyisobutyryl-CoA Hydrolase activity, isomerase activity",Not Available
850,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Concord,A0A2R4D758,--,30286803,Not Available,Not Available
851,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas prosekii,,A0A3L8CDF8,--,29867824,Not Available,Not Available
852,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Acinetobacter schindleri,,A0A2S1FF05,--,29954893,Not Available,Not Available
853,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD (Putative biofilm PGA synthesis protein PgaD)",Pseudomonas lactis,,A0A0R3BJY0,--,22792073; 32587583,Not Available,Not Available
854,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter cumulans,,A0A3A8G879,--,30808586,Acetyl glucosaminyl transferase activity,Not Available
855,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas prosekii,,A0A3L8CCK9,--,29867824,Acetyl glucosaminyl transferase activity,Not Available
856,ComE operon protein 2 (ComEB),Staphylococcus lugdunensis,,A0A0N7B1F5,--,26416910,"dCMP deaminae activity, zinc ion binding",Not Available
857,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas lactis,,I4KC34,--,22792073; 32587583,Acetyl glucosaminyl transferase activity,Not Available
858,Surface composition regulator,Klebsiella oxytoca,,A0A0G3S4R7,--,29437920,Not Available,Not Available
859,Motility quorum-sensing regulator MqsR (Type II toxin-antitoxin system MqsR family toxin),Pseudomonas lactis,,I4KAK6,--,22792073; 32587583,Not Available,Not Available
860,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Yersinia pestis,,A0A1U8QLL4,--,12142430; 15368893,Acetyl glucosaminyl transferase activity,Not Available
861,HTH-type Transcriptional regulator LuxR (LuxR regulator),Vibrio scophthalmi,,H6URH3,--,23198796,DNA binding,Not Available
862,Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein),Aeromona hydrophila,,Q27IV3,--,19729404,N-acyl homoserine lactone synthase activity,Not Available
863,Surface composition regulator,Yersinia pestis,,Q0WDU2,--,11586360,"DNA binding, DNA-directed DNA polymerase activity",Not Available
864,Fimbrial protein (Similar to pilin F17d-A) (Type 1 fimbrial protein),Yersinia pestis,,Q9ZC32,--,11586360,Not Available,Not Available
865,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Acinetobacter wuhouensis,,A0A385C6B4,--,30117799,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
866,AhyR (LuxR family Transcriptional regulator) (LuxR-type Transcriptional regulator),Aeromona hydrophila,,Q27IV4,--,19729404,DNA binding,Not Available
867,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Lattenkamp,A0A5W2LQM8,--,30286803,Not Available,Not Available
